region,icao,station_id,station_name,state,lat,lon,elev_m,isd_begin,isd_end
PSEI,KSEA,72793024233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,WA,47.445,-122.314,112.5,19480101,20250827
SC,KCHS,72208013880,CHARLESTON AFB/INTERNATIONAL AIRPORT,SC,32.899,-80.041,11.8,19450101,20250827
SCEG,KCAE,72310013883,COLUMBIA METROPOLITAN AIRPORT,SC,33.942,-81.118,68.3,19420424,20250826
SCL,KSEA,72793024233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,WA,47.445,-122.314,112.5,19480101,20250827
SOCO,KATL,72219013874,HARTSFIELD-JACKSON ATLANTA INTL AP,GA,33.63,-84.442,308.3,19730101,20250827
SOCO,KBHM,72228013876,BIRMINGHAM INTERNATIONAL AIRPORT,AL,33.565,-86.745,187.7,19420801,20250827
SRP,KPHX,72278023183,PHOENIX SKY HARBOR INTL AIRPORT,AZ,33.428,-112.004,339.2,19730101,20250826
SWPP,KOKC,72353013967,WILL ROGERS WORLD AIRPORT,OK,35.388,-97.6,389.9,19411214,20250827
SWPP,KICT,72450003928,WICHITA EISENHOWER NATIONAL,KS,37.648,-97.43,401.7,19730101,20250827
SWPP,KOMA,72550014942,EPPLEY AIRFIELD AIRPORT,NE,41.312,-95.902,298.8,19740419,20250827
TEC,KTPA,72211012842,TAMPA INTERNATIONAL AIRPORT,FL,27.963,-82.54,1.8,19400801,20250827
TEPC,KTUS,72274023160,TUCSON INTERNATIONAL AIRPORT,AZ,32.132,-110.956,777.6,19730101,20250827
TPWR,KTIW,72793894274,TACOMA NARROWS AIRPORT,WA,47.267,-122.576,88.4,20060101,20250827
TPWR,KSEA,72793024233,SEATTLE-TACOMA INTERNATIONAL AIRPORT,WA,47.445,-122.314,112.5,19480101,20250827
TVA,KBNA,72327013897,NASHVILLE INTERNATIONAL AIRPORT,TN,36.111,-86.688,179.0,19510101,20250827
TVA,KMEM,72334013893,MEMPHIS INTERNATIONAL AIRPORT,TN,35.056,-89.986,76.6,19461001,20250827
TVA,KCHA,72324013882,LOVELL FIELD AIRPORT,TN,35.034,-85.2,204.0,19730101,20250826
WACM,KDEN,72565003017,DENVER INTERNATIONAL AIRPORT,CO,39.847,-104.656,1647.2,19940718,20250827
WACM,KGJT,72476023066,GRAND JUNCTION REGIONAL AIRPORT,CO,39.134,-108.541,1470.4,19730101,20250827
WALC,KPHX,72278023183,PHOENIX SKY HARBOR INTL AIRPORT,AZ,33.428,-112.004,339.2,19730101,20250826
WALC,KLAS,72386023169,MCCARRAN INTERNATIONAL AIRPORT,NV,36.072,-115.163,662.8,19730101,20250827
CISO/PGAE,KSFO,72494023234,SAN FRANCISCO INTERNATIONAL AIRPORT,CA,37.62,-122.366,3.2,19730101,20250827
CISO/PGAE,KFAT,72389093193,FRESNO YOSEMITE INTERNATIONAL AIRPORT,CA,36.78,-119.72,101.9,19411204,20250827
CISO/SCE,KLAX,72295023174,LOS ANGELES INTERNATIONAL AIRPORT,CA,33.938,-118.387,29.7,19440101,20250827
CISO/SCE,KONT,74704003102,ONTARIO INTERNATIONAL ARPT,CA,34.053,-117.577,281.6,20050101,20250827
CISO/SDGE,KSAN,72290023188,SAN DIEGO INTERNATIONAL AIRPORT,CA,32.734,-117.183,4.6,19420101,20250827
ERCO/COAS,KIAH,72243012960,G BUSH INTERCONTINENTAL AP/HOUSTON AP,TX,29.984,-95.361,27.5,19730101,20250827
ERCO/COAS,KHOU,72244012918,WILLIAM P. HOBBY AIRPORT,TX,29.646,-95.282,13.2,20050101,20250827
ERCO/EAST,KTYR,72244813972,TYLER POUNDS REGIONAL ARPT,TX,32.359,-95.404,159.5,19730101,20250827
ERCO/EAST,KGGG,72247003901,EAST TEXAS REGIONAL ARPT,TX,32.391,-94.714,107.3,19910204,20250827
ERCO/FWES,KMAF,72265023023,MIDLAND INTERNATIONAL AIRPORT,TX,31.948,-102.209,872.4,19480201,20250827
ERCO/NCEN,KDFW,72259003927,DALLAS/FT WORTH INTERNATIONAL AP,TX,32.897,-97.022,165.7,19730101,20250827
ERCO/NRTH,KSPS,72351013966,SHEPPARD AFB/WICHITA FALLS MUNI AP,TX,33.979,-98.493,308.6,19420413,20250825
